price,highway-mpg,city-mpg,peak-rpm,horsepower,compression-ratio,stroke,bore,fuel-system,engine-size,num-of-cylinders,engine-type,curb-weight,height,width,length,wheel-base,engine-location,drive-wheels,body-style,num-of-doors,aspiration,fuel-type,make
13495,27,21,5000,111,9,2.68,3.47,mpfi,130,4,dohc,2548,48.8,64.1,168.8,88.6,front,rwd,convertible,2,std,gas,alfa-romero
16500,27,21,5000,111,9,2.68,3.47,mpfi,130,4,dohc,2548,48.8,64.1,168.8,88.6,front,rwd,convertible,2,std,gas,alfa-romero
16500,26,19,5000,154,9,3.47,2.68,mpfi,152,6,ohcv,2823,52.4,65.5,171.2,94.5,front,rwd,hatchback,2,std,gas,alfa-romero
13950,30,24,5500,102,10,3.4,3.19,mpfi,109,4,ohc,2337,54.3,66.2,176.6,99.8,front,fwd,sedan,4,std,gas,audi
17450,22,18,5500,115,8,3.4,3.19,mpfi,136,5,ohc,2824,54.3,66.4,176.6,99.4,front,4wd,sedan,4,std,gas,audi
15250,25,19,5500,110,8.5,3.4,3.19,mpfi,136,5,ohc,2507,53.1,66.3,177.3,99.8,front,fwd,sedan,2,std,gas,audi
17710,25,19,5500,110,8.5,3.4,3.19,mpfi,136,5,ohc,2844,55.7,71.4,192.7,105.8,front,fwd,sedan,4,std,gas,audi
18920,25,19,5500,110,8.5,3.4,3.19,mpfi,136,5,ohc,2954,55.7,71.4,192.7,105.8,front,fwd,wagon,4,std,gas,audi
23875,20,17,5500,140,8.3,3.4,3.13,mpfi,131,5,ohc,3086,55.9,71.4,192.7,105.8,front,fwd,sedan,4,turbo,gas,audi
,22,16,5500,160,7,3.4,3.13,mpfi,131,5,ohc,3053,52,67.9,178.2,99.5,front,4wd,hatchback,2,turbo,gas,audi
16430,29,23,5800,101,8.8,2.8,3.5,mpfi,108,4,ohc,2395,54.3,64.8,176.8,101.2,front,rwd,sedan,2,std,gas,bmw
16925,29,23,5800,101,8.8,2.8,3.5,mpfi,108,4,ohc,2395,54.3,64.8,176.8,101.2,front,rwd,sedan,4,std,gas,bmw
20970,28,21,4250,121,9,3.19,3.31,mpfi,164,6,ohc,2710,54.3,64.8,176.8,101.2,front,rwd,sedan,2,std,gas,bmw
21105,28,21,4250,121,9,3.19,3.31,mpfi,164,6,ohc,2765,54.3,64.8,176.8,101.2,front,rwd,sedan,4,std,gas,bmw
24565,25,20,4250,121,9,3.19,3.31,mpfi,164,6,ohc,3055,55.7,66.9,189,103.5,front,rwd,sedan,4,std,gas,bmw
30760,22,16,5400,182,8,3.39,3.62,mpfi,209,6,ohc,3230,55.7,66.9,189,103.5,front,rwd,sedan,4,std,gas,bmw
41315,22,16,5400,182,8,3.39,3.62,mpfi,209,6,ohc,3380,53.7,67.9,193.8,103.5,front,rwd,sedan,2,std,gas,bmw
