"ID";"CommonName";"SeriesAmount";"global_id";"FilmType";"FrameFormat";"Filmino";"Duration";"Year";"ProducingCountry";"FilmStudio";"IsColor";"AgeRestrictions";"CopyQuality";"DigitalVersion";
"Код";"Название";"Количество серий";"global_id";"Тип фильма";"Формат кадра";"Сведения о фильме";"Длительность";"Год выпуска";"Страна";"Студия";"Цветность";"Возрастные ограничения";"Категория качества копии";"Наличие электронной версии копии";
"2208";"Нежданный гость";"1";"4126455";"художественный";"широкоэкранный";"военная мелодрама";"nested data";"1972";"nested data";"nested data";"цветной";"12+";"3";"нет";
"2219";"Не хочу быть взрослым";"1";"4126457";"художественный";"широкоэкранный";"комедия";"nested data";"1982";"nested data";"nested data";"цветной";"12+";"2, 3";"нет";
"2267";"Падение Кондора";"1";"4126465";"художественный";"широкоэкранный";"драма";"nested data";"1982";"nested data";"nested data";"цветной";"16+";"3";"нет";
"381";"России сердце не забудет";"1";"170804749";"документальный";"широкоэкранный";"документальный";"nested data";"1978";"nested data";"nested data";"цветной";"12+";"2";"нет";
"382";"Ростов Великий";"1";"170804750";"документальный";"широкоэкранный";"документальный";"nested data";"1984";"nested data";"nested data";"цветной";"12+";"1, 3";"нет";
"383";"Ростовский Кремль";"1";"170804751";"документальный";"широкоэкранный";"документальный";"nested data";"1964";"nested data";"nested data";"цветной";"12+";"3";"нет";
"384";"Русская балалайка";"1";"170804752";"документальный";"широкоэкранный";"документальный";"nested data";"1981";"nested data";"nested data";"цветной";"6+";"2, 3";"нет";
"385";"Русские песни";"1";"170804753";"документальный";"широкоэкранный";"документальный";"nested data";"1967";"nested data";"nested data";"чёрно-белый";"6+";"2";"нет";
"386";"Рядом с солдатом";"1";"170804755";"документальный";"широкоэкранный";"документальный";"nested data";"1975";"nested data";"nested data";"чёрно-белый";"12+";"2";"нет";
"387";"Самое массовое из искусств";"1";"170804756";"документальный";"широкоэкранный";"научно-популярный";"nested data";"1983";"nested data";"nested data";"цветной";"12+";"2, 3";"нет";
"388";"Севернее – только Северный Полюс";"1";"170804757";"документальный";"широкоэкранный";"документальный";"nested data";"1977";"nested data";"nested data";"цветной";"12+";"2";"нет";
"389";"Сергей Михалков";"1";"170804758";"документальный";"широкоэкранный";"научно-популярный";"nested data";"1974";"nested data";"nested data";"чёрно-белый";"12+";"2";"нет";
"390";"Сержант Фетисов";"1";"170804759";"документальный";"широкоэкранный";"научно-популярный";"nested data";"1961";"nested data";"nested data";"чёрно-белый";"12+";"2, 3";"нет";
