"BiblName","BiblFName","AdrDistr","AdrStreet","AdrDom","Index","Phone","Site","Email","RukName","RukPos","RukTel","RukEmail"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Центральная городская библиотека им. К. Маркса»","МБУК ЦГБ г. Новосибирска ","Заельцовский район","Красный проспект","163","630049","+7 (383) 311-07-04","http://karlmarx.libnsk.su/ ","karlmarx@libnsk.su","Тихоненко Евгения Юрьевна","Директор","+7 (383) 220-96-47","ceo@libnsk.su"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. В. Г. Белинского Дзержинского района»","Центральная районная библиотека им. В. Г. Белинского","Дзержинский район","Дзержинского проспект","79","630051","+7 (383) 279-04-33 ","http://цбс-белинского.рф/","belinckogo@ngs.ru","Кислица Нелли Витальевна","Директор","+7 (383) 279-04-33","belinckogo@ngs.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. В. Г. Белинского Дзержинского района»","Филиал «Библиотека им. Я. Гашека»","Дзержинский район","Адриена Лежена улица","16","630089","+7 (383) 267-97-00","http://bibl-gasheka.novo-sibirsk.ru","belinckogo@ngs.ru","Палоян Гаяне Нориковна","Заведующий филиалом","+7 (383) 267-97-75","belinckogo@ngs.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. В. Г. Белинского Дзержинского района»","Филиал «Библиотека им. М. И. Цветаевой»","Дзержинский район","Бориса Богаткова улица","268","630000","+7 (383) 261-18-72","http://bibl-tsvetaevoj.novo-sibirsk.ru","bibl-tsvetaevoj@novo-sibirsk.ru","Гаврилюк Галина Алексеевна","Заведующий филиалом","+7 (383) 261-18-72","bibl-tsvetaevoj@novo-sibirsk.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. В. Г. Белинского Дзержинского района»","Филиал «Библиотека им. Н. А. Островского» (детская)","Дзержинский район","Авиастроителей улица","15","630084","+7 (383) 265-82-71","http://bibl-ostrovskogo.novo-sibirsk.ru","bibl-ostrovskogo@novo-sibirsk.ru","Николаева Татьяна Павловна","Заведующий филиалом","+7 (383) 265-82-71","bibl-ostrovskogo@novo-sibirsk.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. В. Г. Белинского Дзержинского района»","Библиотека им. И. С. Тургенева (детская)","Дзержинский район","Дзержинского проспект","79","630051","+7 (383) 279-04-14","http://bibl-turgeneva.novo-sibirsk.ru","belinckogo@ngs.ru","Зеленева Антонина Юрьевна","Заведующий филиалом","+7 (383) 279-04-14","belinckogo@ngs.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. В. Г. Белинского Дзержинского района»","Филиал «Библиотека им. Н. В. Гоголя» (детская)","Дзержинский район","Гоголя улица","215","630015","+7 (383) 279-16-63","http://bibl-gogolya.novo-sibirsk.ru","belinckogo@ngs.ru","Чванова Татьяна Валерьевна","Заведующий филиалом","+7 (383) 279-16-63","belinckogo@ngs.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система им. В. Г. Белинского Дзержинского района»","Филиал «Библиотека им. В. П. Чкалова»","Дзержинский район","Чкалова улица","72","630084","+7 (383) 265-40-62","http://bibl-chkalova.novo-sibirsk.ru","belinckogo@ngs.ru","Дедова Елена Владимировна ","Заведующий филиалом","+7 (383) 265-40-62","belinckogo@ngs.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Центрального округа по Железнодорожному, Заельцовскому и Центральному районам города Новосибирска»","Филиал «Библиотека им. А. П. Чехова»","Железнодорожный район","Сибирская улица","37","630132","+7 (383) 221-85-11","https://www.sshbn.ru/","f7@sshbn.ru ","Киреева Анастасия Сергеевна","Заведующий филиалом","+7 (383) 221-85-11","f7@sshbn.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Центрального округа по Железнодорожному, Заельцовскому и Центральному районам города Новосибирска»","Филиал «Библиотека им. О. В. Кошевого»","Железнодорожный район","Владимировская улица","7","630003","+7 (383) 220-60-02","https://www.sshbn.ru/","f8@sshbn.ru","Курдюкова Лариса Юрьевна","Заведующий филиалом","+7 (383) 220-60-02","f8@sshbn.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Центрального округа по Железнодорожному, Заельцовскому и Центральному районам города Новосибирска»","Филиал «Библиотека им. В. И. Даля» (детская)","Железнодорожный район","Ленина улица","32","630004","+7 (383) 222-68-49","https://www.sshbn.ru/","f9@sshbn.ru","Батолина Наталья  Петровна ","Заведующий филиалом","+7 (383) 222-68-49","f9@sshbn.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Центрального округа по Железнодорожному, Заельцовскому и Центральному районам города Новосибирска»","Филиал «Городской Центр истории Новосибирской книги им. Н. П. Литвинова»","Железнодорожный район","Ленина улица","32","630004","+7 (383) 231-10-68","https://www.sshbn.ru/","f13@sshbn.ru","Судакова Дарья Владимировна","Заведующий филиалом","+7 (383) 231-10-68","f13@sshbn.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Центрального округа по Железнодорожному, Заельцовскому и Центральному районам города Новосибирска»","Центральная библиотека им. М. Е. Салтыкова-Щедрина Центрального округа","Заельцовский район","Красный проспект","83","630049","+7 (383) 225-47-78","https://www.sshbn.ru/","lib@sshbn.ru  ","Ишкова Ксения Геннадьевна","Директор","+7 (383) 226-48-10","dir@sshbn.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Центрального округа по Железнодорожному, Заельцовскому и Центральному районам города Новосибирска»","Филиал «Библиотека им. А. В. Луначарского»","Заельцовский район","Жуковского улица","106а","630001","+7 (383) 225-07-82","https://www.sshbn.ru/","f1@sshbn.ru  ","Лебедева Лидия Владимировна","Заведующий филиалом","+7 (383) 225-07-82","f1@sshbn.ru  "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Центрального округа по Железнодорожному, Заельцовскому и Центральному районам города Новосибирска»","Филиал «Библиотека им. Зои Космодемьянской» (детская)","Заельцовский район","Ельцовская улица","7","630001","+7 (383) 225-08-07","https://www.sshbn.ru/","f2@sshbn.ru","Никипелова  Юлия Юрьевна","Заведующий филиалом","+7 (383) 225-08-07","f2@sshbn.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Центрального округа по Железнодорожному, Заельцовскому и Центральному районам города Новосибирска»","Филиал «Библиотека им. В. Ю. Драгунского» (детская)","Заельцовский район","Деповская улица","36","630105","+7 (383) 225-22-24","https://www.sshbn.ru/","f3@sshbn.ru ","Чернова Анна Васильевна","Заведующий филиалом","+7 (383) 335-87-34","f3@sshbn.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Центрального округа по Железнодорожному, Заельцовскому и Центральному районам города Новосибирска»","Филиал «Библиотека им. Саши Чекалина» (детская)","Заельцовский район","Дмитрия Донского улица","45/1","630082","+7 (383) 226-78-59","https://www.sshbn.ru/","f4@sshbn.ru ","Вьюшкова Анна Николаевна ","Заведующий филиалом","+7 (383) 226-78-59","f4@sshbn.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Центрального округа по Железнодорожному, Заельцовскому и Центральному районам города Новосибирска»","Филиал «Библиотека им. Л. Н. Сейфуллиной»","Заельцовский район","Магаданская улица","5","630047","+7 (383) 276-11-35","https://www.sshbn.ru/","f5@sshbn.ru","Арзамасова Галина Владимировна","Заведующий филиалом","+7 (383) 276-11-35","f5@sshbn.ru"
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Центрального округа по Железнодорожному, Заельцовскому и Центральному районам города Новосибирска»","Филиал «Библиотека им. В. Я. Шишкова»","Заельцовский район","Кубовая улица","49а","630040","+7 (383) 203-80-64","https://www.sshbn.ru/","f6@sshbn.ru ","Климова Олеся Сергеевна","Заведующий филиалом","+7 (383) 203-80-64","f6@sshbn.ru "
"Муниципальное бюджетное учреждение культуры города Новосибирска «Централизованная библиотечная система Калининского района»","Центральная районная библиотека им. Д. С. Лихачёва","Калининский район","Богдана Хмельницкого улица","38","630075","+7 (383) 276-27-01","http://liblihacheva.ru/","lib_lihacheva@mail.ru","Кравченко Маргарита Владимировна ","Директор","+7 (383) 276-27-02","lib_lihacheva@mail.ru"
