DataVkl,DataResh,NKO,Structure,Razmer,Srok,Forma,Information,Address,OGRN,INN,VidDeyat
27.05.2015,26.02.2015,Новосибирская городская общественная писательская организация Союза писателей России,Управление общественных связей мэрии города Новосибирска,120000,29.04.2015,финансовая,грант,"г. Новосибирск, ул. Орджоникидзе, дом 33",1025400006719,5406012038,"деятельность в области образования, просвещения, науки, культуры, искусства, здравоохранения, профилактики и охраны здоровья граждан, пропаганды здорового образа жизни, улучшения морально-психологического состояния граждан, физической культуры и спорта и "
27.05.2015,26.02.2015,"Новосибирская общественная организация ""Городской центр садоводства""",Управление общественных связей мэрии города Новосибирска,130000,15.04.2015,финансовая,грант,"г. Новосибирск, ул. Селезнева, дом 46",1025480000622,5401158844,"деятельность в области образования, просвещения, науки, культуры, искусства, здравоохранения, профилактики и охраны здоровья граждан, пропаганды здорового образа жизни, улучшения морально-психологического состояния граждан, физической культуры и спорта и "
21.10.2015,26.02.2015,Новосибирская Региональная общественная организация Агентство Молодежных Инициатив «Молодой и Решительный»,Управление общественных связей мэрии города Новосибирска,100000,05.03.2015,финансовая,грант,"630001, г. Новосибирск, ул. Холодильная, 16",1115400003377,5402980172,"деятельность в области образования, просвещения, науки, культуры, искусства, здравоохранения, профилактики и охраны здоровья граждан, пропаганды здорового образа жизни, улучшения морально-психологического состояния граждан, физической культуры и спорта и "
21.10.2015,26.02.2015,Новосибирский городской общественный фонд поддержки социальных инициатив «Наш выбор»,Управление общественных связей мэрии города Новосибирска,50000,20.04.2015,финансовая,грант,"630015, Новосибирск, пр. Дзержинского, 16-116",1145476065261,5401379508,социальная поддержка и защита граждан
21.10.2015,26.02.2015,"Новосибирская городская общественная Организация детей погибших участников Великой Отечественной войны - ""Память сердца""",Управление общественных связей мэрии города Новосибирска,70000,24.03.2015,финансовая,грант,"630108, г. Новосибирск, ул. Станиславского, 6 (РЦОО Ленинского района)",1035400010381,5404217382,социальная поддержка и защита граждан
21.10.2015,26.02.2015,Автономная некоммерческая организация «Ассоциация «Санрайз»,Управление общественных связей мэрии города Новосибирска,120000,11.03.2015,финансовая,Грант,"630049, г. Новосибирск – 49 ул. Д. Донского д.17 ",1045400519009,5401227449,"благотворительная деятельность, а также деятельность в области содействия благотворительности и добровольчества,социальная поддержка и защита граждан"
21.10.2015,26.02.2015,Новосибирская областная обществення организация физкультурно-спортивных инициатив «ЕДИНСТВО»,Управление общественных связей мэрии города Новосибирска,50000,09.03.2015,финансовая,Грант,"630073, г. Новосибирск, ул. Блюхера, 67",1125400002012,5404990592,"деятельность в области образования, просвещения, науки, культуры, искусства, здравоохранения, профилактики и охраны здоровья граждан, пропаганды здорового образа жизни, улучшения морально-психологического состояния граждан, физической культуры и спорта и "
21.10.2015,26.02.2015,"Новосибирская городская детская общественная организация ""Все дети наши""",Управление общественных связей мэрии города Новосибирска,60000,27.03.2015,финансовая,Грант,"630024, г. Новосибирск, ул. Бетонная, 14, оф. 314",1125400004399,5403990381,"деятельность в области образования, просвещения, науки, культуры, искусства, здравоохранения, профилактики и охраны здоровья граждан, пропаганды здорового образа жизни, улучшения морально-психологического состояния граждан, физической культуры и спорта и "
21.10.2015,26.02.2015,"Новосибирская областная общественная организация ""Ассоциация землячеств Новосибирской области""",Управление общественных связей мэрии города Новосибирска,70000,03.03.2015,финансовая,Грант,"630099, г. Новосибирск, ул. Максима Горького д.53",1045400001943,5406279271,"деятельность в области образования, просвещения, науки, культуры, искусства, здравоохранения, профилактики и охраны здоровья граждан, пропаганды здорового образа жизни, улучшения морально-психологического состояния граждан, физической культуры и спорта и "
21.10.2015,26.02.2015,"Общественная организация ""Союз Семипалатинск"" Новосибирской области",Управление общественных связей мэрии города Новосибирска,70000,27.03.2015,финансовая,Грант ,"630087, г.Новосибирск, ул.Н.Данченко №120/3-186",1025400004200,5403123371,"подготовка населения к преодолению последствий стихийных бедствий, экологических, техногенных или иных катастроф, к предотвращению несчастных случаев,социальная поддержка и защита граждан"
