date,datetime,cash_type,card,money,coffee_name
2024-03-01,2024-03-01 10:15:50.520,card,1,38.7,Latte
2024-03-01,2024-03-01 12:19:22.539,card,2,38.7,Hot Chocolate
2024-03-01,2024-03-01 12:20:18.089,card,2,38.7,Hot Chocolate
2024-03-01,2024-03-01 13:46:33.006,card,3,28.9,Americano
2024-03-01,2024-03-01 13:48:14.626,card,4,38.7,Latte
2024-03-01,2024-03-01 15:39:47.726,card,5,33.8,Americano with Milk
2024-03-01,2024-03-01 16:19:02.756,card,6,38.7,Hot Chocolate
2024-03-01,2024-03-01 18:39:03.580,card,7,33.8,Americano with Milk
2024-03-01,2024-03-01 19:22:01.762,card,8,38.7,Cocoa
2024-03-01,2024-03-01 19:23:15.887,card,8,33.8,Americano with Milk
2024-03-01,2024-03-01 19:29:17.391,card,9,33.8,Americano with Milk
2024-03-02,2024-03-02 10:22:06.957,card,10,28.9,Americano
2024-03-02,2024-03-02 10:30:35.668,cash,,40.0,Latte
2024-03-02,2024-03-02 10:41:41.249,card,11,33.8,Americano with Milk
2024-03-02,2024-03-02 11:59:45.484,card,12,33.8,Americano with Milk
2024-03-02,2024-03-02 14:38:35.535,card,13,28.9,Americano
2024-03-02,2024-03-02 16:37:24.475,card,14,33.8,Americano with Milk
2024-03-02,2024-03-02 17:34:54.969,card,4,28.9,Americano
2024-03-03,2024-03-03 10:10:43.981,cash,,40.0,Latte
2024-03-03,2024-03-03 10:27:18.561,card,15,38.7,Latte
2024-03-03,2024-03-03 11:33:56.118,card,16,28.9,Cortado
2024-03-03,2024-03-03 12:26:56.098,card,12,28.9,Americano
2024-03-03,2024-03-03 13:09:36.321,card,17,38.7,Hot Chocolate
2024-03-03,2024-03-03 17:06:40.271,card,18,38.7,Cocoa
2024-03-03,2024-03-03 17:08:45.895,card,19,28.9,Cortado
2024-03-03,2024-03-03 18:03:23.369,card,20,33.8,Americano with Milk
2024-03-03,2024-03-03 18:04:27.946,card,20,33.8,Americano with Milk
2024-03-03,2024-03-03 18:08:04.959,card,20,38.7,Hot Chocolate
2024-03-04,2024-03-04 10:03:51.994,card,1,38.7,Latte
2024-03-04,2024-03-04 10:54:50.958,card,21,38.7,Latte
2024-03-04,2024-03-04 11:05:16.184,card,12,33.8,Americano with Milk
2024-03-04,2024-03-04 14:04:37.734,card,22,24.0,Espresso
2024-03-05,2024-03-05 09:59:52.651,card,1,38.7,Latte
2024-03-05,2024-03-05 14:34:55.963,card,23,38.7,Latte
2024-03-05,2024-03-05 17:34:06.043,card,24,38.7,Latte
2024-03-05,2024-03-05 17:35:25.021,card,25,38.7,Hot Chocolate
2024-03-05,2024-03-05 17:36:28.571,card,26,38.7,Cocoa
2024-03-05,2024-03-05 17:37:13.659,card,27,38.7,Hot Chocolate
2024-03-05,2024-03-05 17:38:09.354,card,9,38.7,Hot Chocolate
2024-03-05,2024-03-05 17:56:15.776,card,28,28.9,Cortado
2024-03-05,2024-03-05 18:01:31.242,card,28,38.7,Hot Chocolate
2024-03-06,2024-03-06 12:30:27.089,cash,,35.0,Americano with Milk
2024-03-06,2024-03-06 13:24:07.667,card,12,28.9,Americano
2024-03-06,2024-03-06 13:25:14.351,card,12,28.9,Cortado
2024-03-06,2024-03-06 14:52:01.761,card,29,38.7,Cappuccino
2024-03-06,2024-03-06 14:53:18.344,card,29,38.7,Cappuccino
2024-03-07,2024-03-07 10:08:58.945,cash,,40.0,Latte
2024-03-07,2024-03-07 10:18:40.543,card,30,38.7,Hot Chocolate
2024-03-07,2024-03-07 11:03:58.976,card,31,38.7,Latte
2024-03-07,2024-03-07 11:25:43.977,cash,,40.0,Latte
2024-03-07,2024-03-07 15:40:22.606,card,32,28.9,Americano
2024-03-07,2024-03-07 15:41:28.784,card,33,33.8,Americano with Milk
2024-03-08,2024-03-08 10:34:41.283,card,12,28.9,Cortado
2024-03-08,2024-03-08 12:22:28.653,card,34,38.7,Cappuccino
2024-03-08,2024-03-08 13:53:02.042,card,35,28.9,Americano
2024-03-08,2024-03-08 14:44:12.686,card,12,28.9,Americano
2024-03-08,2024-03-08 14:45:11.048,card,33,28.9,Americano
2024-03-08,2024-03-08 14:46:11.155,card,12,33.8,Americano with Milk
2024-03-08,2024-03-08 18:57:51.451,card,36,38.7,Latte
2024-03-08,2024-03-08 18:59:24.941,card,37,38.7,Latte
2024-03-09,2024-03-09 11:49:37.292,cash,,40.0,Hot Chocolate
2024-03-09,2024-03-09 12:05:15.559,card,38,24.0,Espresso
2024-03-09,2024-03-09 12:07:38.275,card,39,28.9,Americano
2024-03-09,2024-03-09 12:09:47.714,card,12,38.7,Cappuccino
2024-03-09,2024-03-09 12:13:03.521,card,40,28.9,Americano
2024-03-09,2024-03-09 12:14:26.458,card,40,28.9,Americano
2024-03-09,2024-03-09 13:09:22.229,card,41,38.7,Latte
2024-03-09,2024-03-09 13:41:06.167,card,42,33.8,Americano with Milk
2024-03-09,2024-03-09 13:53:10.408,card,43,28.9,Cortado
2024-03-09,2024-03-09 13:54:36.828,card,43,38.7,Cappuccino
2024-03-09,2024-03-09 14:08:01.829,card,9,33.8,Americano with Milk
2024-03-09,2024-03-09 14:26:52.873,card,44,38.7,Hot Chocolate
2024-03-09,2024-03-09 19:17:57.572,card,9,38.7,Cappuccino
2024-03-09,2024-03-09 19:19:10.084,card,9,38.7,Hot Chocolate
2024-03-10,2024-03-10 07:44:18.538,cash,,30.0,Americano
2024-03-10,2024-03-10 07:45:29.441,cash,,35.0,Americano with Milk
2024-03-10,2024-03-10 10:06:02.960,cash,,40.0,Latte
2024-03-10,2024-03-10 11:19:20.764,card,45,24.0,Espresso
2024-03-10,2024-03-10 17:51:03.048,cash,,35.0,Americano with Milk
2024-03-10,2024-03-10 19:34:00.478,card,46,38.7,Latte
2024-03-10,2024-03-10 19:35:54.712,card,46,28.9,Cortado
2024-03-11,2024-03-11 10:18:46.724,cash,,40.0,Latte
2024-03-11,2024-03-11 11:24:15.022,cash,,40.0,Cappuccino
2024-03-11,2024-03-11 11:24:51.565,cash,,30.0,Cortado
2024-03-11,2024-03-11 11:26:44.221,cash,,30.0,Americano
2024-03-11,2024-03-11 11:32:58.781,card,35,38.7,Cappuccino
2024-03-11,2024-03-11 16:24:26.401,card,47,28.9,Americano
2024-03-11,2024-03-11 16:25:45.664,card,47,38.7,Latte
2024-03-11,2024-03-11 16:50:49.608,card,48,28.9,Cortado
2024-03-12,2024-03-12 10:15:00.297,cash,,40.0,Latte
2024-03-12,2024-03-12 10:15:34.543,card,33,28.9,Americano
2024-03-12,2024-03-12 10:16:24.886,card,33,28.9,Cortado
2024-03-12,2024-03-12 11:20:45.632,card,49,38.7,Hot Chocolate
2024-03-12,2024-03-12 12:46:23.275,card,4,33.8,Americano with Milk
2024-03-12,2024-03-12 12:47:26.027,card,4,28.9,Americano
2024-03-12,2024-03-12 16:15:43.325,card,50,28.9,Americano
2024-03-13,2024-03-13 11:06:43.038,card,48,38.7,Hot Chocolate
2024-03-13,2024-03-13 11:48:16.753,card,4,28.9,Americano
2024-03-13,2024-03-13 12:18:06.336,card,51,28.9,Americano
2024-03-13,2024-03-13 12:19:05.128,card,51,28.9,Americano
2024-03-13,2024-03-13 12:34:30.315,cash,,25.0,Espresso
2024-03-13,2024-03-13 14:26:40.875,card,52,33.8,Americano with Milk
2024-03-13,2024-03-13 15:40:22.261,card,53,24.0,Espresso
2024-03-13,2024-03-13 15:41:20.424,card,53,24.0,Espresso
2024-03-13,2024-03-13 16:47:09.373,card,54,24.0,Espresso
2024-03-14,2024-03-14 10:02:12.241,cash,,40.0,Latte
2024-03-14,2024-03-14 10:28:33.017,card,55,38.7,Latte
2024-03-14,2024-03-14 10:29:34.283,card,55,38.7,Hot Chocolate
2024-03-14,2024-03-14 13:27:29.536,card,12,28.9,Cortado
2024-03-14,2024-03-14 13:28:24.527,card,12,28.9,Americano
2024-03-14,2024-03-14 13:51:59.905,card,56,33.8,Americano with Milk
2024-03-14,2024-03-14 13:52:56.248,card,57,24.0,Espresso
2024-03-14,2024-03-14 15:20:38.367,card,58,38.7,Latte
2024-03-14,2024-03-14 16:04:09.506,card,59,33.8,Americano with Milk
2024-03-14,2024-03-14 16:54:38.202,card,50,24.0,Espresso
2024-03-14,2024-03-14 18:58:55.854,card,19,38.7,Hot Chocolate
2024-03-14,2024-03-14 19:00:08.663,card,12,28.9,Cortado
2024-03-15,2024-03-15 10:02:16.533,cash,,40.0,Latte
2024-03-15,2024-03-15 10:53:02.180,card,60,38.7,Hot Chocolate
2024-03-15,2024-03-15 18:19:27.922,card,12,28.9,Americano
2024-03-16,2024-03-16 12:06:55.209,card,61,33.8,Americano with Milk
2024-03-16,2024-03-16 12:07:53.915,card,61,28.9,Americano
2024-03-16,2024-03-16 15:58:18.458,card,9,28.9,Cortado
