Unnamed: 0,ID,Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
0,tt0398974,Dr. Shaitan,1960,0.0,0.0,0.0,-,hindi
1,tt1702558,Nadir Khan,1968,0.0,0.0,0.0,-,urdu
2,tt0493437,Apna Sapna Money Money,2006,134.0,5.3,1892.0,"Comedy, Musical, Romance            ",hindi
3,tt0273405,Aag Aur Sholay,1987,0.0,2.2,20.0,-,urdu
4,tt0049595,Parivar,1956,0.0,7.4,21.0,"Comedy, Drama, Family            ",hindi
5,tt2930026,Humraah: The Traitor,2008,0.0,0.0,0.0,Thriller            ,hindi
6,tt6597160,Jacqueline I Am Coming,2019,112.0,7.9,16.0,Drama            ,hindi
7,tt0829459,A Mighty Heart,2007,108.0,6.6,26885.0,"Biography, Drama, History            ",urdu
8,tt0154875,Midnight Mail,1939,0.0,0.0,0.0,Action            ,hindi
9,tt0364628,Raktalekha,1992,175.0,6.3,12.0,Drama            ,bengali
10,tt0364733,Veedevadandi Babu,1997,138.0,5.6,218.0,Comedy            ,telugu
11,tt8272296,A Mayalu Timi Lai,2018,0.0,0.0,0.0,"Short, Music            ",nepali
12,tt5684550,Da Tang Xuan Zang,2016,90.0,6.2,379.0,"Biography, History            ",sanskrit
13,tt0250733,Sikandar,1976,0.0,0.0,0.0,-,hindi
14,tt1407272,Pehla Qadam,1958,0.0,0.0,0.0,-,urdu
15,tt0318983,Amman Koil Kizhakkaalae,1986,141.0,6.9,63.0,Drama            ,tamil
16,tt3148392,Shatru,2013,0.0,4.5,11.0,"Action, Thriller            ",kannada
17,tt7836398,Kamal Khatri Feat. Simpal Kharel: Jaula Relaima,2017,5.0,0.0,0.0,"Short, Music            ",nepali
18,tt0376353,Zinda Jala Doonga,1988,0.0,0.0,0.0,Action            ,hindi
19,tt2302945,Tukaram,2012,156.0,7.3,231.0,"Biography, Drama, History            ",marathi
20,tt6517874,Ramante Edenthottam,2017,122.0,6.0,459.0,"Comedy, Drama, Romance            ",malayalam
21,tt0150519,Faslah,1974,0.0,0.0,0.0,"Crime, Drama, Romance            ",hindi
22,tt4820566,Jawani Ki Ghabrahat,1991,0.0,0.0,0.0,Thriller            ,hindi
23,tt0318296,Anbu Chinnam,1990,0.0,0.0,0.0,-,tamil
24,tt12717866,Naveed,2020,57.0,0.0,0.0,Documentary            ,urdu
25,tt12701012,Ramudu Bheemudu,1988,141.0,0.0,0.0,Drama            ,telugu
26,tt3466016,Vaade Kavali,2009,0.0,0.0,0.0,Romance            ,telugu
27,tt4654666,Aakhri Muqabla,1978,0.0,0.0,0.0,Action            ,hindi
28,tt1319563,Dracula,1999,92.0,4.1,16.0,Horror            ,hindi
29,tt0398130,Jahanara,1935,0.0,0.0,0.0,-,hindi
30,tt0065764,Geet,1970,0.0,7.1,98.0,"Action, Crime, Musical            ",hindi
31,tt2707908,Sej Piya Ki,1985,0.0,0.0,0.0,Drama            ,hindi
32,tt3509698,Sati Sita Luv Kush,1981,0.0,0.0,0.0,Drama            ,hindi
33,tt1575647,Nuvvu Vasthavani,2000,158.0,6.6,160.0,"Family, Romance            ",telugu
34,-,Jam,2018,0.0,0.0,0.0,Drama            ,bengali
35,tt0357879,Madadgaar,1987,0.0,5.4,11.0,"Action, Crime, Drama            ",hindi
36,tt1827428,Hamra Se Biyah Karba,2003,0.0,0.0,0.0,Drama            ,bhojpuri
37,tt0351354,Milan Ki Raat,1967,0.0,4.4,7.0,"Drama, Romance            ",hindi
38,tt0213519,Bhool Bhulaiyan,1933,0.0,6.0,6.0,Comedy            ,hindi
39,tt0246905,Saajan Chale Sasural,1996,134.0,6.0,1312.0,"Comedy, Drama            ",hindi
40,tt1582519,Khaleja,2010,170.0,7.6,8284.0,"Action, Comedy, Fantasy            ",telugu
41,tt6682124,Rogue,2017,134.0,5.1,118.0,"Action, Thriller            ",kannada
42,-,Shaan,2018,166.0,0.0,0.0,Action            ,hindi
43,tt6882630,Bhale Bullodu,1995,0.0,0.0,0.0,Drama            ,telugu
44,tt0397478,Jaal,1973,0.0,0.0,0.0,Musical            ,urdu
45,tt0464849,Yuvakudu,2000,145.0,6.9,110.0,Romance            ,telugu
46,tt13276010,Goolihatti,2015,156.0,0.0,0.0,Drama            ,kannada
47,tt0139306,Hamara Ghar,1950,0.0,0.0,0.0,-,hindi
48,tt10515954,Olessia,2019,120.0,8.1,40.0,"Drama, Musical            ",malayalam
49,tt5159256,Prohibited,2015,12.0,8.2,25.0,"Short, Drama, Thriller            ",urdu
50,tt1039989,Sunday,2008,135.0,5.3,2592.0,"Action, Comedy, Mystery            ",hindi
51,-,The Destiny,2018,0.0,0.0,0.0,Biography            ,hindi
52,tt2761622,Spy in Goa,1966,0.0,0.0,0.0,"Action, Thriller            ",hindi
53,tt8622232,Time to Dance,2021,113.0,1.3,406.0,"Musical, Romance            ",hindi
54,tt0109922,Gopi Kishan,1994,161.0,5.5,805.0,"Action, Comedy, Drama            ",hindi
55,tt0187351,Nigahen: Nagina Part II,1989,140.0,5.2,286.0,"Drama, Family, Fantasy            ",hindi
56,tt5026204,Dobara Phir Se,2016,127.0,6.6,427.0,Drama            ,urdu
57,tt2373666,Pagaivan,1997,142.0,5.2,82.0,"Action, Comedy            ",tamil
58,tt1245732,Red Alert: The War Within,2009,120.0,6.4,337.0,"Action, Drama, Thriller            ",hindi
59,tt0273409,Adhikar,1938,132.0,0.0,0.0,-,hindi
60,tt4601930,Hasta Melapa,1969,0.0,0.0,0.0,Drama            ,gujarati
61,tt0242476,Gangavatarana,1984,0.0,0.0,0.0,-,telugu
62,tt0449814,Amnol Sahara,1952,0.0,0.0,0.0,Drama            ,hindi
63,tt0442625,Waqt Ka Shahenshah,1987,0.0,4.9,11.0,Action            ,hindi
64,tt3666258,Coffee Bloom,2015,90.0,5.9,101.0,Drama            ,hindi
65,tt0266712,Laila Majnu,1976,140.0,7.2,259.0,"Drama, Musical, Romance            ",oriya
66,tt3209556,Vidiyum Munn,2013,129.0,7.4,434.0,Thriller            ,tamil
67,tt6120732,Olappeeppi,2016,121.0,7.6,120.0,Drama            ,malayalam
68,tt3681344,Duniya Ke Rangeen Raatein,1997,0.0,0.0,0.0,Drama            ,hindi
69,tt8243058,Timi Sanga,2018,0.0,6.1,11.0,Romance            ,nepali
70,tt0267796,Oho Naa Pellanta,1996,0.0,6.2,19.0,Comedy            ,telugu
71,tt14189052,Ivanu Thumba Orata,2009,0.0,0.0,0.0,Drama            ,kannada
72,tt0246433,Apnapan,1977,133.0,6.5,73.0,"Drama, Romance            ",hindi
73,tt1606327,Saath Laakh,1957,125.0,0.0,0.0,"Musical, Romance            ",urdu
74,tt1502852,Insaan,1966,0.0,0.0,0.0,-,urdu
75,tt7419244,Takrav,2018,0.0,0.0,0.0,"Action, Romance            ",bhojpuri
76,tt2980794,Highway,2014,133.0,7.6,26801.0,"Crime, Drama, Romance            ",hindi
77,tt1524568,Pratipaksha,1988,108.0,6.9,8.0,"Action, Drama            ",bengali
78,tt3521136,Har Raat Naya Khiladi,1990,0.0,0.0,0.0,Thriller            ,hindi
79,tt13057434,Naanaage Naanillai,2016,0.0,0.0,0.0,Drama            ,tamil
80,tt0243125,Atma Tarang,1937,0.0,0.0,0.0,-,hindi
81,tt2942618,Dehorokkhi: The Bodyguard,2013,167.0,6.8,402.0,Action            ,bengali
82,tt2777694,Beru,2005,104.0,8.3,19.0,Drama            ,kannada
83,tt2613436,Paigham,1988,168.0,0.0,0.0,Fantasy            ,hindi
84,-,Akela,2018,0.0,0.0,0.0,Drama            ,hindi
85,tt13088566,The Rubiks game,2014,30.0,0.0,0.0,"Short, Thriller            ",malayalam
86,tt9053354,Anthervedam,2018,0.0,0.0,0.0,Thriller            ,telugu
87,tt13605848,Enakkul Oru Kadhal,2009,97.0,0.0,0.0,Drama            ,tamil
88,tt1283527,Samsara Nauka,1989,0.0,0.0,0.0,-,kannada
89,tt0248294,Patthe Bapurao,1950,143.0,0.0,0.0,-,marathi
90,tt0352979,Vida Parayaanmathram,1988,0.0,0.0,0.0,-,malayalam
91,tt5278634,White,2016,149.0,3.0,471.0,Romance            ,malayalam
92,tt0283028,Sayahnam,2000,0.0,7.0,10.0,-,malayalam
93,tt14045622,Preetam,2021,0.0,9.0,15.0,Romance            ,marathi
94,tt3952870,Britto,2014,124.0,7.5,12.0,Drama            ,bengali
95,tt0252229,Amrutha Geetham,1982,0.0,0.0,0.0,-,malayalam
96,tt4960730,Pyar Ka Jigar,2003,0.0,0.0,0.0,Romance            ,hindi
97,tt0250747,Stalin Sivadas,1999,118.0,2.7,47.0,"Action, Thriller            ",malayalam
98,tt0352287,Dheeran,1987,0.0,0.0,0.0,-,malayalam
99,tt0262446,Gopichand Jasoos,1982,150.0,5.9,123.0,"Comedy, Thriller            ",hindi
100,-,Vikrant Rona,2021,0.0,0.0,0.0,"Action, Adventure, Fantasy            ",kannada
101,tt0995840,Joy: The Real Love Story,2007,127.0,2.1,1601.0,"Drama, Romance, Thriller            ",hindi
102,tt0104098,Dharavi,1992,120.0,7.1,282.0,"Crime, Drama            ",hindi
103,tt0280817,Kamadhenu,1976,0.0,0.0,0.0,-,malayalam
104,tt1593777,Sansarer Itikatha,1983,0.0,0.0,0.0,Drama            ,bengali
105,tt10160924,Shani Arshad: Adha Adha,2019,5.0,0.0,0.0,"Short, Music            ",urdu
106,tt5771640,Noces,2016,98.0,7.1,1360.0,Drama            ,oriya
107,-,Tu Heer Main Tera Hero,2021,0.0,0.0,0.0,Comedy            ,urdu
108,tt1441323,Madi Veetu Ezhai,1981,0.0,0.0,0.0,-,tamil
109,tt4007298,Khoobsurat Kali,2003,0.0,0.0,0.0,Thriller            ,hindi
110,tt0246877,Puthayal,1997,144.0,5.9,51.0,-,tamil
111,tt0320701,Urimai,1985,0.0,0.0,0.0,-,tamil
112,tt0266290,Babai Abbai,1984,117.0,6.3,102.0,"Comedy, Romance            ",telugu
113,tt1217608,Yaar Meri Zindagi,2008,0.0,4.8,39.0,"Drama, Family, Musical            ",hindi
114,tt4912546,Denied: A Life Confined,2013,22.0,0.0,0.0,Documentary            ,nepali
115,tt1237894,Jhoomar,2007,0.0,6.9,7.0,-,oriya
116,tt3982578,Hututu,2014,138.0,5.0,5.0,Comedy            ,marathi
117,tt1663663,Parchhaeen,1989,0.0,0.0,0.0,Thriller            ,hindi
118,tt0231352,Chettathi,1965,0.0,0.0,0.0,-,kannada
119,tt0083063,Sharda,1981,126.0,5.5,19.0,"Drama, Family            ",hindi
120,tt10902596,Satyanweshi Byomkesh,2019,108.0,6.5,267.0,"Crime, Mystery, Thriller            ",bengali
121,tt4271912,Mahan,1996,132.0,6.0,8.0,"Drama, Family            ",bengali
122,tt2132465,Takht-O-Taj,1970,0.0,0.0,0.0,-,urdu
123,-,Death Match,2018,0.0,0.0,0.0,"Action, Adventure, Thriller            ",nepali
124,tt1537032,Kanthaswamy,2009,190.0,5.0,1567.0,"Action, Crime            ",tamil
125,tt0432188,Vishwa Thulasi,2004,0.0,6.1,32.0,"Drama, Musical, Romance            ",tamil
126,tt7757972,Saakshyam,2018,166.0,4.7,437.0,Action            ,telugu
127,tt3908750,Circus Queen,1959,0.0,0.0,0.0,Action            ,hindi
128,tt4489064,"Haseena: Smart, Sexy, Dangerous",2006,0.0,0.0,0.0,Thriller            ,hindi
129,tt6759286,Seemana,1996,0.0,8.9,8.0,"Action, Drama            ",nepali
130,tt6577668,Weather Report,2017,91.0,0.0,0.0,Drama            ,marathi
131,tt2522328,Shutter,2012,133.0,7.7,1017.0,Thriller            ,malayalam
132,tt2375283,Maithaanam,2011,125.0,5.9,7.0,"Drama, Family, Mystery            ",tamil
133,tt2317103,Sons of Ram,2012,85.0,6.6,76.0,"Animation, Drama, Musical            ",tamil
134,tt14231578,Duti Mon,2011,0.0,0.0,0.0,Drama            ,bengali
135,tt1575691,Swapna Lokam,1999,0.0,0.0,0.0,Romance            ,telugu
136,tt0376061,Pattalam,2003,159.0,5.1,316.0,"Action, Comedy, Drama            ",malayalam
137,tt14075090,The Twelve Thousand,2020,28.0,0.0,0.0,"Short, Drama            ",nepali
138,tt13546104,Indulekha (Malayalam),2020,22.0,0.0,0.0,Drama            ,malayalam
139,tt0240945,Sukham Sukhakaram,1994,0.0,0.0,0.0,-,malayalam
140,tt0297378,Santa,1961,0.0,0.0,0.0,Drama            ,telugu
141,tt3207826,Mullamottum Munthiricharum,2012,0.0,4.3,14.0,Drama            ,malayalam
142,tt1577050,Fired,2010,87.0,4.4,260.0,Horror            ,hindi
143,tt0225515,Dillagi,1999,188.0,5.3,1068.0,"Drama, Musical, Romance            ",hindi
144,tt13606792,Nesi,2009,0.0,0.0,0.0,Drama            ,tamil
145,tt1530891,Kaana Kanmani,2009,132.0,4.4,106.0,"Drama, Horror            ",malayalam
146,tt0186871,Bhagwaan Dada,1986,147.0,4.3,167.0,"Drama, Thriller            ",hindi
147,tt10919164,A 2nd Hand Lover,2015,135.0,0.0,0.0,Romance            ,kannada
148,tt2791100,Sampoorna Sant Darshanam,1978,0.0,0.0,0.0,Drama            ,hindi
149,tt0273446,Avar Enakke Sontham,1977,66.0,0.0,0.0,-,tamil
150,tt1986813,Dharti ke God Mein,1971,0.0,0.0,0.0,Drama            ,hindi
151,tt1449278,Valar Pirai,1962,0.0,0.0,0.0,-,tamil
152,tt11086844,Shaitaan: A Vision of Madness,2018,65.0,0.0,0.0,Thriller            ,hindi
153,tt13724328,Haaru Hakkiyaneri,2010,0.0,0.0,0.0,Drama            ,kannada
154,tt0259494,Payal Ki Jhankar,1968,132.0,4.4,12.0,"Action, Adventure, Comedy            ",hindi
155,tt3417786,Juniors,2003,0.0,5.2,13.0,Romance            ,telugu
156,tt0299078,Palkon Ki Chhaon Mein,1977,127.0,7.5,65.0,"Drama, Romance            ",hindi
157,tt0384918,Dil Ka Sathi Dil,1982,0.0,6.7,18.0,Romance            ,hindi
158,tt3454974,Mounamelanoyi,2002,154.0,6.7,16.0,Romance            ,telugu
159,tt0032951,Punar Milan,1940,0.0,0.0,0.0,"Drama, Romance            ",hindi
160,tt5281434,Maa Shakti,20022003,0.0,8.4,15.0,History            ,malayalam
161,tt11766304,Let's Break Up,2020,0.0,0.0,0.0,-,kannada
162,tt7831920,HIRER SHIKAL,1988,126.0,0.0,0.0,"Drama, Romance            ",bengali
163,tt6917966,Mohanlal,2018,150.0,4.5,507.0,Comedy            ,malayalam
164,tt0038475,Dharti Ke Lal,1950,125.0,6.4,16.0,"Drama, History            ",hindi
165,tt8925172,Angadipattu,2018,23.0,0.0,0.0,Comedy            ,malayalam
166,tt1092005,Golmaal Returns,2008,135.0,5.1,7115.0,"Comedy, Crime, Mystery            ",hindi
167,tt4003012,The Journey Within,2015,78.0,7.0,35.0,"Documentary, Music            ",oriya
168,tt0305692,Janma Bhoomi,1995,0.0,8.0,6.0,Drama            ,nepali
169,tt7971756,Inspector Gullu,2018,124.0,6.8,32.0,Action            ,hindi
170,tt1857670,Deiva Thirumagal,2011,166.0,8.1,4954.0,Drama            ,tamil
171,tt5267296,Aaj Ka Inteqaam,1991,0.0,0.0,0.0,Thriller            ,hindi
172,tt2713666,Tuch Khari Gharchi Laxmi,2011,115.0,0.0,0.0,Drama            ,marathi
173,tt4384242,Pataas,2015,127.0,6.7,758.0,"Action, Comedy            ",telugu
174,-,Ram,2022,0.0,0.0,0.0,"Action, Crime, Thriller            ",malayalam
175,tt0390271,Monagadu,1976,151.0,0.0,0.0,"Crime, Drama            ",telugu
176,tt0091320,Kala Dhanda Goray Log,1986,158.0,5.7,35.0,"Drama, Family            ",hindi
177,tt7817140,Vishwaguru,2017,0.0,0.0,0.0,Biography            ,malayalam
178,tt10964430,Thappad,2020,142.0,6.8,14626.0,Drama            ,hindi
179,tt1351669,Talentime,2009,120.0,6.8,183.0,Drama            ,tamil
180,tt8298414,Maan Bhi Jao Sanam,2018,49.0,0.0,0.0,Comedy            ,urdu
181,tt4899880,Shah,2015,109.0,8.5,1392.0,"Biography, Drama, Sport            ",urdu
182,tt13004148,Harsha Varsha Jayaraj,2020,0.0,8.0,6.0,"Short, Comedy            ",malayalam
183,tt1268309,Yeh Kaise Hua,1984,0.0,0.0,0.0,-,urdu
184,tt0271949,Adavukal Pathinettu,1978,0.0,0.0,0.0,-,malayalam
185,tt0254181,Bhale Papa,1971,0.0,0.0,0.0,-,telugu
186,tt0243513,Raakhi Ki Saugandh,1979,0.0,0.0,0.0,"Action, Crime, Drama            ",hindi
187,tt12258568,Khara Varasdar,1986,0.0,0.0,0.0,Drama            ,marathi
188,tt1645102,Lakhon Fasane,1961,0.0,0.0,0.0,Drama            ,urdu
189,-,Vallam Kali,2018,86.0,0.0,0.0,Documentary            ,malayalam
190,tt2334779,Qissa: The Tale of a Lonely Ghost,2013,109.0,6.7,896.0,"Drama, Fantasy, Horror            ",punjabi
191,tt8364128,Amma I Love You,2018,147.0,7.4,55.0,Drama            ,kannada
192,tt8665904,Kahi Katai,2018,0.0,0.0,0.0,Family            ,nepali
193,tt11292062,Adhiktam,2020,45.0,0.0,0.0,"Action, Comedy            ",hindi
194,tt0259479,Oru Vasantha Geetham,1994,0.0,4.7,9.0,-,tamil
195,tt0248112,Ishq Ishq,1977,0.0,3.4,23.0,Musical            ,urdu
196,tt13666960,Aata Hoti Geli Kuthe,1991,0.0,0.0,0.0,Comedy            ,marathi
197,tt3415566,123,2002,127.0,5.7,59.0,Comedy            ,telugu
198,tt0347920,Saajan Ki Saheli,1981,0.0,5.5,44.0,"Family, Drama            ",hindi
199,tt8933650,Chanakya,2019,147.0,5.4,492.0,"Action, Adventure, Thriller            ",malayalam
200,tt0215898,Khaan Dost,1976,157.0,5.6,38.0,"Action, Crime, Drama            ",hindi
201,tt1977836,Kalsandhya,1997,124.0,7.8,11.0,Drama            ,assamese
202,tt13654756,Ippadikku En Kadhal,2007,115.0,0.0,0.0,Drama            ,tamil
203,tt0281721,Chottanikkara Amma,1976,132.0,6.6,8.0,Drama            ,malayalam
204,tt0250759,Sutradhaarulu,1990,0.0,8.1,55.0,"Drama, Musical            ",telugu
205,tt3672760,Butter & Cheese,2014,13.0,0.0,0.0,"Short, Family            ",nepali
206,tt1580704,That Girl in Yellow Boots,2010,103.0,6.6,3574.0,"Crime, Drama, Mystery            ",kannada
207,tt14492938,Aanamuttathe Aangalamar,2000,108.0,0.0,0.0,"Comedy, Drama            ",malayalam
208,tt0370808,Jhankar,1942,0.0,0.0,0.0,-,hindi
209,tt0333636,Ira Thedunna Manushyar,1981,0.0,0.0,0.0,-,malayalam
210,tt1081913,Aideu,2007,91.0,0.0,0.0,-,assamese
211,tt0203289,American Desi,2001,100.0,6.6,1583.0,"Comedy, Drama, Romance            ",hindi
212,tt2548030,Chettayees,2012,0.0,4.7,134.0,Family            ,malayalam
213,tt0352162,Ambalakkara Panchayath,1988,0.0,0.0,0.0,-,malayalam
214,-,Khape,2018,0.0,0.0,0.0,Drama            ,gujarati
215,tt5994746,Supportive Men,2014,21.0,0.0,0.0,"Documentary, Short, Family            ",nepali
216,-,Vivash,2018,0.0,0.0,0.0,-,hindi
217,tt11423262, Alif Laila,19972002,0.0,0.0,0.0,"Adventure, Fantasy            ",urdu
218,tt14361576,Poila April,2021,0.0,0.0,0.0,Drama            ,bengali
219,tt0406556,Bachelor Husband,1950,0.0,0.0,0.0,-,hindi
220,tt0156852,Oru Nadigai Natakam Pakiral,1978,131.0,6.2,12.0,-,tamil
221,tt1305021,Dunia Gol Hai,1974,0.0,0.0,0.0,-,urdu
222,tt4209790,Chalta Purza,1958,0.0,0.0,0.0,Fantasy            ,hindi
223,tt6588966,Hichki,2018,116.0,7.5,10905.0,"Comedy, Drama            ",hindi
224,tt0363777,Lover Boy,1985,0.0,4.1,19.0,"Drama, Romance            ",hindi
225,tt0962716,Babul,1986,162.0,4.8,9.0,Drama            ,hindi
226,tt7683212,Babu,2020,26.0,0.0,0.0,"Short, Drama            ",nepali
227,tt9725092,Swabhimaan,2019,122.0,0.0,0.0,Drama            ,gujarati
228,tt0214941,Meera,1947,120.0,7.7,14.0,-,hindi
229,tt0314566,Red Indians,2001,0.0,4.7,15.0,-,malayalam
230,tt1319643,Navabharata,1988,0.0,0.0,0.0,-,kannada
231,tt11102314,Tribhanga,2021,95.0,6.1,2406.0,"Drama, Family            ",hindi
232,tt13980542,Sri Bannari Amman,2002,149.0,0.0,0.0,Drama            ,tamil
233,tt13212228,Dear Love,2020,0.0,0.0,0.0,-,nepali
234,tt13057554,Apoorva Mahaan,2015,135.0,0.0,0.0,Drama            ,tamil
235,tt11543304,Haidar Sultan,1982,0.0,0.0,0.0,"Action, Drama            ",punjabi
236,tt11536276,3 Monkeys,2020,131.0,6.5,82.0,Drama            ,telugu
