ID в ИС ГТИБД,Название,Название (англ.),Адрес,Район,Телефоны,Сайт,Электронная почта,Доступно для лиц с ограниченными возможностями,Геопозиция
4429,"Киносеть ""Петербург - кино"". Кинотеатр ""Аврора"" (Петергоф)",Гос. городское учреждение,"198510, Санкт-Петербург, г. Петергоф, Санкт-Петербургский пр., 17",Петродворцовый,+7(812) 450-54-54;,"https://www.peterburg-kino.spb.ru/aurora , https://vk.com/kinoaurora",avrorapetergof@yandex.ru,нет,"59.878983,29.921436"
4431,"Киносеть ""Петербург - кино"". Кинотеатр ""Восход""",Гос. городское учреждение,"198264, Санкт-Петербург, ул. Пограничника Гарькавого, д. 22, корп. 1",Красносельский,+7(812) 738-82-00,"https://www.peterburg-kino.spb.ru/voskhod , https://vk.com/kinovoshod",voshodkino@mail.ru,нет,"59.838688,30.147964"
4432,"Киносеть ""Петербург - кино"". Кинотеатр ""Дружба""",Гос. городское учреждение,"196135, Санкт-Петербург, Московский пр., 202",Московский,+7(812) 373-30-61,"https://www.peterburg-kino.spb.ru/druzba , https://vk.com/kinodruzhba",druzba.spb@mail.ru,нет,"59.859461,30.32204"
4433,"Киносеть ""Петербург - кино"". Кинотеатр ""Заневский""",Гос. городское учреждение,"195196, Санкт-Петербург, Новочеркасский пр., 47, корп. 1",Красногвардейский,+7(812) 444-37-85,"https://www.peterburg-kino.spb.ru/zanevsky , https://vk.com/kinozanevsky",zanevsky@inbox.ru,нет,"59.926255,30.413767"
4434,"Киносеть ""Петербург - кино"". Кинотеатр ""Фильмофонд""",Гос. городское учреждение,"195067, Санкт-Петербург, Пискаревский пр., 32",Калининский,+7(812) 679-54-66,"https://www.peterburg-kino.spb.ru/filmofond , https://vk.com/filmofond",zgsmail@bk.ru,нет,"59.982005,30.421465"
4436,СПб ГБКУ «Киноцентр «Родина»,Гос. городское учреждение,"191004, Россия, Санкт-Петербург, ул. Караванная, д. 12",Центральный,+7(812) 314-28-27; +7 (812) 571-61-31,www.rodinakino.ru,"administrator@rodinakino.ru, director@rodinakino.ru",нет,"59.936142,30.342198"
4437,"Детский кинотеатр ""Авангард""",Гос. районное учреждение,"196600, г. Пушкин, ул. Московская, д. 32/17",Пушкинский,+7 (812) 466-43-20,https://avangard-kino.ru/,avangardkino@bk.ru,нет,"59.718298,30.411952"
4438,"Кино-досуговый центр ""ЧАЙКА""",Гос. районное учреждение,"192284, Санкт-Петербург, Купчинская ул., 1/5",Фрунзенский,"+7(812) 772-36-82, (812) 607-49-77",www.kinocentr-chaika.ru,kinoteatr_chaika@bk.ru,нет,"59.845248,30.379047"
4440,"Кинотеатр ""Mori Cinema""",Негосударственное учреждение,"195426, Санкт-Петербург, Индустриальный пр., 24, лит. А, ТРЦ «ИЮНЬ»",Красногвардейский,+7(812) 6356503; +7(812) 6356505;,https://mori-cinema.ru/cinema_detail/107_mori_sinema/,,да,"59.946067,30.474043"
4442,"Сеть кинотеатров ""Кинополис""",Негосударственное учреждение,"198188, Санкт-Петербург, ул. Васи Алексеева, д. 6",Кировский,+7(812) 643-03-95; 8(952) 243-46-21,Http://rumba.kinopolis-film.ru/,,Нет,"59.879886,30.265778"
4445,"Кинотеатр ""Курортный""",Гос. Районное бюджетное учреждение культуры,"197706, г. Сестрорецк, пл. Cвободы, д. 1",Курортный,+7(812) 437-17-31,Www.kinokurort.ru,Kurortnykinoteatr@yandex.ru,Нет,"60.092406,29.955994"
4446,"Кинотеатр ""Нева""",Негосударственное учреждение,"191025, Санкт-Петербург, Невский пр., д. 108",Центральный,+7(812) 579-51-69,https://kinoneva.ru/,poravkinomart@mail.ru,нет,"59.931612,30.357694"
4447,Культурно-досуговый центр «Подвиг»,Государственное учреждение,"196653, Санкт-Петербург, г. Колпино, Павловская ул., 34",Колпинский,+7 (812) 469-50-92,http://kdc-podvig.ru/,kdc-podvig@mail.ru,нет,"59.747185,30.581203"
