name,track_len,link,genre,artist(s),chart,Explicit_content,monthly_listens_total,artists_likes_total
Царица,3:35,https://music.yandex.ru//album/26605629/track/115517682,русская поп-музыка,['ANNA ASTI'],1,0,4847753,2120528
Плохая Девочка,2:15,https://music.yandex.ru//album/26697445/track/115748634,русский рэп,"['Винтаж', 'ТРАВМА', 'SKIDRI', 'DVRKLXGHT']",2,0,16677658,417013
Я плачу,1:54,https://music.yandex.ru//album/26607707/track/115522025,русская поп-музыка,['A.V.G'],3,0,4406023,287295
ASPHALT 8,2:15,https://music.yandex.ru//album/25361122/track/112632320,русский рэп,['MACAN'],4,0,5149399,2359899
Где прошла ты,2:48,https://music.yandex.ru//album/25163882/track/112140181,русский рэп,"['Кравц', 'Гио Пика']",5,0,9058111,1509523
По весне,2:29,https://music.yandex.ru//album/25385537/track/112693028,русская поп-музыка,"['Jakone', 'SCIRENA']",6,0,7249592,103349
Не вспоминай,2:53,https://music.yandex.ru//album/26238268/track/114701796,русская поп-музыка,"['NILETTO', 'Олег Майами', 'Лёша Свик']",7,0,9595600,4662989
Поспешили,2:06,https://music.yandex.ru//album/27076894/track/116652531,русский рэп,"['MACAN', 'Jakone']",8,0,9094105,2414815
Чёрный Русский,2:20,https://music.yandex.ru//album/27253115/track/117095821,русский рэп,['MORGENSHTERN'],9,1,2857140,4296461
Танцы,2:58,https://music.yandex.ru//album/26499893/track/113376105,русская поп-музыка,['NLO'],10,0,3332520,243825
money,2:41,https://music.yandex.ru//album/26803721/track/116012279,русская поп-музыка,"['By Индия', 'The Limba']",11,0,8014390,790421
Dying 2 Live,2:41,https://music.yandex.ru//album/27269020/track/117131963,русский рэп,['Big Baby Tape'],12,1,2370163,2328130
Давай сбежим (Искорки),2:31,https://music.yandex.ru//album/26003146/track/114160371,русская поп-музыка,['5УТРА'],13,0,2637779,8818
ЗА ДЕНЬГИ ДА,1:59,https://music.yandex.ru//album/24375438/track/109140203,русская поп-музыка,['INSTASAMKA'],14,0,3888410,2053368
Она близко,2:24,https://music.yandex.ru//album/25875093/track/113871114,русский рэп,"['A.V.G', 'Goro']",15,0,6888389,307984
Кукла колдуна,3:23,https://music.yandex.ru//album/7019257/track/50685843,панк,['Король и Шут'],16,0,4805309,4044357
Самый пьяный округ в мире,2:06,https://music.yandex.ru//album/26579125/track/115451099,русский рэп,['MACAN'],17,0,5149399,2359902
По барам,3:57,https://music.yandex.ru//album/22820453/track/104964266,русская поп-музыка,['ANNA ASTI'],18,0,4847753,2120533
Я тебя обидел,3:01,https://music.yandex.ru//album/27254957/track/117099994,русская поп-музыка,['NЮ'],19,0,3326121,1852976
